stream,tracer,ra,dec,dm,dm_err
ATLAS,BHB,19.678817000000002,-26.591158,16.71,0.1
ATLAS,BHB,34.759075,-33.963078,17.21,0.1
ATLAS,BHB,33.274133,-33.535181,17.16,0.1
ATLAS,BHB,17.317954,-25.139657999999997,16.62,0.1
ATLAS,BHB,31.822883,-31.355325,17.23,0.1
ATLAS,BHB,23.67035,-29.264217,16.75,0.1
ATLAS,BHB,28.094058,-31.854194,16.85,0.1
ATLAS,BHB,13.115875,-22.792203,16.46,0.1
ATLAS,BHB,13.161508,-22.616203,16.45,0.1
ATLAS,BHB,21.847692000000002,-27.870421999999998,16.8,0.1
ATLAS,BHB,30.135733000000002,-33.275844,16.92,0.1
ATLAS,BHB,30.771642,-33.305861,16.93,0.1
ATLAS,BHB,37.109871000000005,-35.706761,17.29,0.1
ATLAS,RRL,18.654975,-26.549133,16.61,0.17
ATLAS,RRL,18.719707999999997,-25.649181,16.67,0.17
ATLAS,RRL,9.974475,-20.892894000000002,16.37,0.17
ATLAS,RRL,13.976196,-23.251867,16.21,0.17
ATLAS,RRL,38.242013,-35.814825,17.29,0.17
Elqui,BHB,17.625375000000002,-40.22584166666667,18.72920747183175,0.1
Elqui,BHB,12.354975,-38.227044444444445,18.56411926381415,0.1
Elqui,BHB,13.8467,-38.37419722222222,18.371253893035355,0.1
Elqui,RRL,21.78855,-43.62823055555556,18.580614227294923,0.17
Elqui,RRL,18.800449999999998,-41.160227777777784,18.808189529418947,0.17
Elqui,RRL,15.291870833333334,-40.36451944444445,18.24015821838379,0.17
Elqui,RRL,10.755679166666667,-38.16471388888889,18.24957861328125,0.17
Elqui,RRL,11.660375,-37.866480555555555,18.205932754516603,0.17
Chenab,BHB,316.951275,-62.824986111111116,17.52752014285928,0.1
Chenab,BHB,315.82629583333335,-62.88313055555555,17.298194091492093,0.1
Chenab,BHB,324.97339166666666,-54.970086111111115,17.865580764086797,0.1
Chenab,BHB,325.5514875,-54.079744444444444,17.952870669990556,0.1
Chenab,BHB,323.81151250000005,-53.692680555555555,17.785499415058286,0.1
Chenab,BHB,328.4957541666667,-49.42930277777778,17.739663958685618,0.1
Chenab,BHB,329.95425833333337,-45.322825,18.32201435522885,0.1
Chenab,RRL,315.7418333333333,-61.19827500000001,17.51515319824219,0.17
Chenab,RRL,318.5247375,-62.094475,17.409112243652345,0.17
Chenab,RRL,321.89489583333335,-59.08895833333333,17.516507415771486,0.17
Chenab,RRL,321.1867875,-58.68640555555556,17.609505920410157,0.17
Chenab,RRL,321.67633750000005,-57.45849166666667,17.75248649597168,0.17
Chenab,RRL,325.47683333333333,-51.84138333333334,17.999728469848634,0.17
Chenab,RRL,327.54905,-51.23164166666667,18.11220100402832,0.17
Chenab,RRL,329.95072916666663,-46.96233333333333,18.110434799194337,0.17
Chenab,RRL,328.87316250000003,-46.275191666666665,18.19069221496582,0.17
Tucana III,BHB,-1.7995675679308647,-60.348602053796164,16.79588577450456,0.1
Tucana III,BHB,-3.274678145833036,-59.72551636650503,16.758372703141717,0.1
Tucana III,RRL,1.0722929472141,-59.37688616814,17.24981254577637,0.17
Tucana III,RRL,1.73833653595502,-58.6639730240067,17.339747848510743,0.17
Tucana III,RRL,-4.50156826291601,-59.6775558615537,16.800591888427736,0.17
Phoenix,BHB,24.50668333333333,-49.42959166666667,16.2406439748094,0.1
Phoenix,BHB,22.24906666666667,-53.251975,16.316514759566733,0.1
Phoenix,BHB,19.7591625,-55.12813888888889,16.318683932253105,0.1
Indus,BHB,344.8711333333334,-63.988011111111106,15.7483686459286,0.1
Indus,BHB,349.1033291666667,-63.82624722222222,15.921107751790615,0.1
Indus,BHB,344.04383750000005,-62.25683333333333,15.715263755563589,0.1
Indus,BHB,336.2300125,-59.67689444444446,15.810224654550874,0.1
Indus,RRL,334.43719583333336,-58.164355555555545,15.96158381652832,0.17
Jhelum,BHB,0.6577208333333334,-52.406647222222226,15.47658698755068,0.1
Jhelum,BHB,343.68602916666674,-51.16683055555556,15.260813669383314,0.1
Jhelum,BHB,340.42380833333334,-50.37035833333334,15.369725679547924,0.1
Jhelum,RRL,346.98082083333327,-51.82524166666667,15.275943481445312,0.17
Jhelum,RRL,342.95588333333336,-50.49206388888889,15.271750175476074,0.17
